abbreviation,full name,special ranking
fcn,FC Nordsjælland,
fck,FC København,w
vff,Viborg FF,
agf,AGF Aarhus,
rfc,Randers FC,
bif,Brøndby IF,
sif,Silkeborg IF,
fcm,FC Midtjylland,c
ob,Odense Boldklub,
ach,AC Horsens,p
lbk,Lyngby Boldklub,p
aab,Aalborg BK,
